MAGs	d	p	c	o	f	g	s
GFS_12374	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_1243	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__CAIXPF01	g__CAIXPF01	s__
GFS_12523	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GFS_12570	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_1262	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Miltoncostaeales	f__	g__	s__
GFS_12750	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GFS_12774	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
GFS_12823	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_12876	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__CAIXPF01	g__CAIXPF01	s__
GFS_13015	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_13312	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
GFS_14050	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_1480	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__IMCC26256	g__IMCC26256	s__
GFS_1765	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_1943	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_2073	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
GFS_2122	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GFS_2143	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__
GFS_2147	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_2200	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Microtrichaceae	g__	s__
GFS_2217	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
GFS_2232	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__WLNW01	g__WLNW01	s__
GFS_2254	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_2304	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Demequinaceae	g__Demequina	s__
GFS_2352	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__PALSA-747	s__
GFS_2458	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__JAENVS01	s__
GFS_2522	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_2557	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_2729	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_2961	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__SZUA-35	g__CADEDH01	s__
GFS_2964	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__
GFS_2977	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
GFS_3046	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Nakamurellaceae	g__Nakamurella	s__
GFS_3101	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__VFMC01	s__
GFS_3107	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_3124	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
GFS_3885	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
GFS_3888	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GFS_3985	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__PALSA-747	s__
GFS_4112	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_4145	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
GFS_4292	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_4345	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_449	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
GFS_4616	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Miltoncostaeales	f__	g__	s__
GFS_4702	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
GFS_4712	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__PALSA-747	s__
GFS_4721	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Jatrophihabitantaceae	g__Iso899	s__
GFS_4723	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
GFS_4729	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GFS_4730	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Jatrophihabitantaceae	g__QHCC01	s__
GFS_48	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
GFS_4827	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_4931	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_4950	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__
GFS_4958	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_4996	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GFS_5096	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_5326	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GFS_5370	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__Planktophila	s__
GFS_5549	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
GFS_5662	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_5804	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GFS_5813	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_5847	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__CAIYMF01	g__WLRQ01	s__
GFS_5972	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Pseudolysinimonas	s__
GFS_6050	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
GFS_6178	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_6203	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Nakamurellaceae	g__Nakamurella	s__Nakamurella sp014303395
GFS_6266	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
GFS_6300	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__CAIYMF01	g__WLRQ01	s__
GFS_6347	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Rhodoglobus	s__
GFS_6449	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GFS_6450	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_6453	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__
GFS_6470	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_6474	d__Bacteria	p__Actinobacteriota	c__UBA4738	o__UBA4738	f__HRBIN12	g__AC-51	s__
GFS_6502	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_677	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_6809	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__Planktophila	s__
GFS_6836	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__UBA8139	g__UBA4742	s__
GFS_6861	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Lapillicoccus	s__
GFS_6954	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Miltoncostaeales	f__	g__	s__
GFS_7037	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
GFS_7213	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GFS_7248	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_7420	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Fen-668	s__
GFS_7441	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
GFS_7485	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GFS_7533	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__PALSA-600	s__
GFS_7628	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__WLNW01	g__WLNW01	s__
GFS_7891	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__QYPT01	s__
GFS_7972	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_8261	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GFS_8654	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__WLNW01	g__WLNW01	s__
GFS_9042	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__CAIYMF01	g__WLRQ01	s__
GFS_9244	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Chryseoglobus	s__
GFS_9379	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__F1-60-MAGs149	g__	s__
GFS_9438	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_9486	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__PALSA-747	s__
GFS_9506	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__QYPT01	s__
GFS_957	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_9622	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GFS_9806	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GFS_9929	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
GL114_DN_concoct_170	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
GL116_DN_concoct_43_sub	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__VFMC01	s__
GL116_DN_metabat_127	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GL119_DN_concoct_136	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__VFMC01	s__
GL124_DN_metabat_39_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Rhodoglobus	s__
GL124_DN_metabinner_10_sub	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GL124_UP_metabat_89	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GL127_UP_concoct_10	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Rhodoglobus	s__
GL135_UP_concoct_100	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
GL13_Down_concoct_98	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GL140_2_metabinner_14	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
GL140_3_metabinner_37_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__QYPT01	s__
GL26_DN_metabinner_9_sub	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
GL29_DN_concoct_81	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GL30_DN_concoct_48	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
GL30_DN_concoct_6	d__Bacteria	p__Actinobacteriota	c__UBA4738	o__UBA4738	f__HRBIN12	g__AC-51	s__
GL32_UP_concoct_130	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GL34_UP_concoct_40	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
GL44_Down_metabinner_1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
GL46_Up_concoct_70	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GL53_Down_metabinner_64	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__VFMC01	s__
GL53_Up_concoct_234_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
GL58_Down_concoct_10	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GL58_Down_concoct_163	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
GL58_Down_concoct_82	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GL65_DN_concoct_7_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GL65_DN_metabinner_31_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GL65_DN_metabinner_5	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
GL65_UP_concoct_39_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Marisediminicola	s__
GL6_UpB_concoct_86	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
GL72_UP_concoct_68_sub	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__BACL27	s__
GL72_UP_metabinner_1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__Planktophila	s__
GL74_DN_concoct_89	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GL74_UP_concoct_155	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Lapillicoccus	s__
GL74_UP_metabat_188_sub	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
GL74_UP_metabinner_20_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__PALSA-747	s__
GL75_DN_concoct_134	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
GL7_UP_metabat_28_sub	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
GL7_UP_metabat_6_sub	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__	g__	s__
GL80_DN_metabinner_25_sub	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
GL80_UP_concoct_146	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Rhodoglobus	s__
GL80_UP_concoct_205	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
GL80_UP_concoct_3	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
GL85_DN_concoct_172	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__
GL85_UP_concoct_189_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__JAENVS01	s__
GL85_UP_metabat_129	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
GL85_UP_metabinner_2	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Bog-756	s__
GL86_DN_concoct_157	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GL88_DN_concoct_96_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__QYPT01	s__
GL90_UP_metabinner_46	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
GL91_UP_metabat_169	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
GL92_UP_concoct_71	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
GL93_DN_concoct_143	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__QYPT01	s__
GL93_DN_concoct_93	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__	s__
GL94_UP_concoct_2_sub	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
GL95_UP_concoct_7	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Pseudolysinimonas	s__
GL98_UP_metabinner_10	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__PALSA-747	s__
GL99_UP_concoct_160	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
336R_concoct_238	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
336R_metabat_67	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__
338R_concoct_206	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Capsulimonadaceae	g__JZD01	s__
341R_concoct_52	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Capsulimonadaceae	g__JZD01	s__
GFS_10870	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__	s__
GFS_10893	d__Bacteria	p__Armatimonadota	c__UBA5829	o__DTJY01	f__DTJY01	g__	s__
GFS_1125	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__Armatimonas	s__
GFS_12086	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__
GFS_12677	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__
GFS_13321	d__Bacteria	p__Armatimonadota	c__Abditibacteria	o__Abditibacteriales	f__Abditibacteriaceae	g__JZH01	s__
GFS_13969	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__JACMIU01	s__
GFS_14214	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__JACMJB01	s__
GFS_2106	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
GFS_2120	d__Bacteria	p__Armatimonadota	c__Abditibacteria	o__Abditibacteriales	f__Abditibacteriaceae	g__JZH01	s__
GFS_2368	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
GFS_2643	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
GFS_3240	d__Bacteria	p__Armatimonadota	c__Abditibacteria	o__Abditibacteriales	f__Abditibacteriaceae	g__Abditibacterium	s__
GFS_3241	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__JACMPS01	s__JACMPS01 sp014377395
GFS_4518	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
GFS_4758	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
GFS_4810	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Capsulimonadaceae	g__JZD01	s__
GFS_6317	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__Armatimonas	s__
GFS_6793	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
GFS_7207	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__Armatimonas	s__
GFS_9362	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__JACMIU01	s__
GFS_9681	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
GFS_9863	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
GL103_UP_concoct_32	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__
GL106_DN_concoct_81	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__Armatimonas	s__
GL122_UP_metabat_80	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__JACMIU01	s__
GL124_DN_metabat_50_sub	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__JAFLBD01	s__
GL124_UP_concoct_213	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__JACMJB01	s__
GL28_DN_concoct_192	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__
GL34_UP_concoct_24	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Capsulimonadaceae	g__JZD01	s__
GL44_UP_concoct_128_sub	d__Bacteria	p__Armatimonadota	c__Abditibacteria	o__Abditibacteriales	f__Abditibacteriaceae	g__Abditibacterium	s__
